trade_date,stock_code,side,shares,price
2016-07-01,000002.SZ,buy,11.075097355643305,3113.54
2016-07-01,000710.SZ,buy,445.8593046378284,77.34
2016-07-01,600000.SH,buy,233.71803321600686,147.54
2016-07-01,600004.SH,buy,1691.160305085319,20.39
2016-07-01,600009.SH,buy,456.30221808508213,75.57
2016-07-01,600016.SH,buy,201.5592624543468,171.08
2016-07-01,600028.SH,buy,2929.7161105088917,11.77
2016-07-01,600036.SH,buy,454.61778010137976,75.85
2016-07-01,600104.SH,buy,228.65034560499737,150.81
2016-07-01,600158.SH,buy,306.9499610173549,112.34
2016-07-01,600318.SH,buy,815.5808566861318,42.28
2016-07-01,600391.SH,buy,377.3143519060034,91.39
2016-07-01,600519.SH,buy,17.201729324252426,2004.61
2016-07-01,600796.SH,buy,417.5173582841706,82.59
2016-07-01,600872.SH,buy,260.99575098917387,132.12
2016-07-01,600900.SH,buy,1040.5177616381911,33.14
2016-07-01,601007.SH,buy,2618.2808368025553,13.17
2016-07-01,601088.SH,buy,1874.062968515742,18.4
2016-07-01,601166.SH,buy,612.482391131255,56.3
2016-07-01,601288.SH,buy,8329.168748958853,4.14
2016-07-01,601318.SH,buy,486.42627480165964,70.89
2016-07-01,601328.SH,buy,3995.6846605665874,8.63
2016-07-01,601398.SH,buy,5216.7562209817925,6.61
2016-07-01,601601.SH,buy,1111.6298717179127,31.02
2016-07-01,601766.SH,buy,3374.0468317700243,10.22
2016-07-01,601857.SH,buy,3785.1546235663727,9.11
2016-07-01,601988.SH,buy,6828.269033799931,5.05
2016-07-01,601998.SH,buy,4795.933048774638,7.19
2016-07-01,601999.SH,buy,3580.7641350664226,9.63
2016-07-08,000002.SZ,sell,11.075097355643305,2389.64
2016-07-08,000710.SZ,sell,445.8593046378284,77.34
2016-07-08,600000.SH,sell,233.71803321600686,143.18
2016-07-08,600004.SH,sell,1691.160305085319,20.76
2016-07-08,600009.SH,sell,456.30221808508213,76.3
2016-07-08,600016.SH,sell,201.5592624543468,171.08
2016-07-08,600028.SH,sell,2929.7161105088917,11.89
2016-07-08,600036.SH,sell,454.61778010137976,74.81
2016-07-08,600104.SH,sell,228.65034560499737,156.56
2016-07-08,600158.SH,sell,306.9499610173549,113.11
2016-07-08,600318.SH,sell,815.5808566861318,42.28
2016-07-08,600391.SH,sell,377.3143519060034,96.18
2016-07-08,600519.SH,sell,17.201729324252426,2170.91
2016-07-08,600796.SH,sell,417.5173582841706,82.59
2016-07-08,600872.SH,sell,260.99575098917387,140.8
2016-07-08,600900.SH,sell,1040.5177616381911,34.12
2016-07-08,601007.SH,sell,2618.2808368025553,14.08
2016-07-08,601088.SH,sell,1874.062968515742,18.83
2016-07-08,601166.SH,sell,612.482391131255,55.86
2016-07-08,601288.SH,sell,8329.168748958853,4.16
2016-07-08,601318.SH,sell,486.42627480165964,70.77
2016-07-08,601328.SH,sell,3995.6846605665874,8.86
2016-07-08,601398.SH,sell,5216.7562209817925,6.68
2016-07-08,601601.SH,sell,1111.6298717179127,30.68
2016-07-08,601766.SH,sell,3374.0468317700243,10.29
2016-07-08,601857.SH,sell,3785.1546235663727,9.15
2016-07-08,601988.SH,sell,6828.269033799931,5.06
2016-07-08,601998.SH,sell,4795.933048774638,7.25
2016-07-08,601999.SH,sell,3580.7641350664226,9.96
2016-07-08,000002.SZ,buy,14.533486991083333,2389.64
2016-07-08,000710.SZ,buy,449.05355383207103,77.34
2016-07-08,600000.SH,buy,242.56042640992018,143.18
2016-07-08,600004.SH,buy,1672.9191644206344,20.76
2016-07-08,600009.SH,buy,455.1743362172002,76.3
2016-07-08,600016.SH,buy,203.00328415578895,171.08
2016-07-08,600028.SH,buy,2920.9253030590726,11.89
2016-07-08,600036.SH,buy,464.2400996306961,74.81
2016-07-08,600104.SH,buy,221.8306199116784,156.56
2016-07-08,600158.SH,buy,307.04448637054526,113.11
2016-07-08,600318.SH,buy,821.4238848952784,42.28
2016-07-08,600391.SH,buy,361.09172232659984,96.18
2016-07-08,600519.SH,buy,15.997808224833078,2170.91
2016-07-08,600796.SH,buy,420.50855858302907,82.59
2016-07-08,600872.SH,buy,246.66052452679241,140.8
2016-07-08,600900.SH,buy,1017.8722700284987,34.12
2016-07-08,601007.SH,buy,2466.605245267924,14.08
2016-07-08,601088.SH,buy,1844.3867155269452,18.83
2016-07-08,601166.SH,buy,621.7293564871532,55.86
2016-07-08,601288.SH,buy,8348.51006090682,4.16
2016-07-08,601318.SH,buy,490.74186595128407,70.77
2016-07-08,601328.SH,buy,3919.842195640223,8.86
2016-07-08,601398.SH,buy,5199.072133738379,6.68
2016-07-08,601601.SH,buy,1132.0013641907553,30.68
2016-07-08,601766.SH,buy,3375.10222093026,10.29
2016-07-08,601857.SH,buy,3795.606759931407,9.15
2016-07-08,601988.SH,buy,6863.59720422379,5.06
2016-07-08,601998.SH,buy,4790.317497016879,7.25
2016-07-08,601999.SH,buy,3486.9278969249367,9.96
2016-07-15,000002.SZ,sell,14.533486991083333,2280.04
2016-07-15,000710.SZ,sell,449.05355383207103,77.34
2016-07-15,600000.SH,sell,242.56042640992018,145.59
2016-07-15,600004.SH,sell,1672.9191644206344,21.69
2016-07-15,600009.SH,sell,455.1743362172002,79.24
2016-07-15,600016.SH,sell,203.00328415578895,177.21
2016-07-15,600028.SH,sell,2920.9253030590726,12.22
2016-07-15,600036.SH,sell,464.2400996306961,76.73
2016-07-15,600104.SH,sell,221.8306199116784,169.29
2016-07-15,600158.SH,sell,307.04448637054526,117.8
2016-07-15,600318.SH,sell,821.4238848952784,42.28
2016-07-15,600391.SH,sell,361.09172232659984,99.23
2016-07-15,600519.SH,sell,15.997808224833078,2224.22
2016-07-15,600796.SH,sell,420.50855858302907,82.59
2016-07-15,600872.SH,sell,246.66052452679241,143.07
2016-07-15,600900.SH,sell,1017.8722700284987,34.96
2016-07-15,601007.SH,sell,2466.605245267924,13.88
2016-07-15,601088.SH,sell,1844.3867155269452,20.25
2016-07-15,601166.SH,sell,621.7293564871532,56.96
2016-07-15,601288.SH,sell,8348.51006090682,4.23
2016-07-15,601318.SH,sell,490.74186595128407,72.57
2016-07-15,601328.SH,sell,3919.842195640223,8.98
2016-07-15,601398.SH,sell,5199.072133738379,6.73
2016-07-15,601601.SH,sell,1132.0013641907553,31.5
2016-07-15,601766.SH,sell,3375.10222093026,10.47
2016-07-15,601857.SH,sell,3795.606759931407,9.31
2016-07-15,601988.SH,sell,6863.59720422379,5.22
2016-07-15,601998.SH,sell,4790.317497016879,7.69
2016-07-15,601999.SH,sell,3486.9278969249367,10.92
2016-07-15,000002.SZ,buy,15.63019741683417,2280.04
2016-07-15,000710.SZ,buy,460.7896989692084,77.34
2016-07-15,600000.SH,buy,244.7796917252461,145.59
2016-07-15,600004.SH,buy,1643.0371285513406,21.69
2016-07-15,600009.SH,buy,449.7409807960447,79.24
2016-07-15,600016.SH,buy,201.10307160024027,177.21
2016-07-15,600028.SH,buy,2916.323675800211,12.22
2016-07-15,600036.SH,buy,464.45295605732537,76.73
2016-07-15,600104.SH,buy,210.51140243533925,169.29
2016-07-15,600158.SH,buy,302.5252573707859,117.8
2016-07-15,600318.SH,buy,842.8920368561631,42.28
2016-07-15,600391.SH,buy,359.1401322007314,99.23
2016-07-15,600519.SH,buy,16.022459701953306,2224.22
2016-07-15,600796.SH,buy,431.49867197334515,82.59
2016-07-15,600872.SH,buy,249.09118136771218,143.07
2016-07-15,600900.SH,buy,1019.3785846189525,34.96
2016-07-15,601007.SH,buy,2567.5414494437014,13.88
2016-07-15,601088.SH,buy,1759.875324359436,20.25
2016-07-15,601166.SH,buy,625.6579234248346,56.96
2016-07-15,601288.SH,buy,8424.93506342283,4.23
2016-07-15,601318.SH,buy,491.0772401581726,72.57
2016-07-15,601328.SH,buy,3968.5384541512894,8.98
2016-07-15,601398.SH,buy,5295.315797663979,6.73
2016-07-15,601601.SH,buy,1131.3484228024945,31.5
2016-07-15,601766.SH,buy,3403.77032648315,10.47
2016-07-15,601857.SH,buy,3827.8706034670868,9.31
2016-07-15,601988.SH,buy,6827.102551394364,5.22
2016-07-15,601998.SH,buy,4634.262069997214,7.69
2016-07-15,601999.SH,buy,3263.505065776427,10.92
2016-07-22,000002.SZ,sell,15.63019741683417,2216.31
2016-07-22,000710.SZ,sell,460.7896989692084,77.34
2016-07-22,600000.SH,sell,244.7796917252461,144.85
2016-07-22,600004.SH,sell,1643.0371285513406,21.92
2016-07-22,600009.SH,sell,449.7409807960447,77.9
2016-07-22,600016.SH,sell,201.10307160024027,176.63
2016-07-22,600028.SH,sell,2916.323675800211,12.04
2016-07-22,600036.SH,sell,464.45295605732537,76.46
2016-07-22,600104.SH,sell,210.51140243533925,170.08
2016-07-22,600158.SH,sell,302.5252573707859,120.69
2016-07-22,600318.SH,sell,842.8920368561631,42.28
2016-07-22,600391.SH,sell,359.1401322007314,95.92
2016-07-22,600519.SH,sell,16.022459701953306,2156.97
2016-07-22,600796.SH,sell,431.49867197334515,82.59
2016-07-22,600872.SH,sell,249.09118136771218,141.12
2016-07-22,600900.SH,sell,1019.3785846189525,34.57
2016-07-22,601007.SH,sell,2567.5414494437014,14.02
2016-07-22,601088.SH,sell,1759.875324359436,19.74
2016-07-22,601166.SH,sell,625.6579234248346,56.7
2016-07-22,601288.SH,sell,8424.93506342283,4.19
2016-07-22,601318.SH,sell,491.0772401581726,71.93
2016-07-22,601328.SH,sell,3968.5384541512894,8.9
2016-07-22,601398.SH,sell,5295.315797663979,6.67
2016-07-22,601601.SH,sell,1131.3484228024945,31.11
2016-07-22,601766.SH,sell,3403.77032648315,10.31
2016-07-22,601857.SH,sell,3827.8706034670868,9.2
2016-07-22,601988.SH,sell,6827.102551394364,5.17
2016-07-22,601998.SH,sell,4634.262069997214,7.77
2016-07-22,601999.SH,sell,3263.505065776427,10.69
2016-07-22,000002.SZ,buy,15.417420496150566,2216.31
2016-07-22,000710.SZ,buy,441.812557794459,77.34
2016-07-22,600000.SH,buy,235.89770949135976,144.85
2016-07-22,600004.SH,buy,1558.8404753569096,21.92
2016-07-22,600009.SH,buy,438.6364983289276,77.9
2016-07-22,600012.SH,buy,1098.3536875545954,31.11
2016-07-22,600016.SH,buy,193.45401811596818,176.63
2016-07-22,600028.SH,buy,2838.0218621115832,12.04
2016-07-22,600036.SH,buy,446.8975048368227,76.46
2016-07-22,600104.SH,buy,200.9041816781718,170.08
2016-07-22,600158.SH,buy,283.12025204924566,120.69
2016-07-22,600318.SH,buy,808.1784110648879,42.28
2016-07-22,600391.SH,buy,356.2321019581261,95.92
2016-07-22,600519.SH,buy,15.841566280394936,2156.97
2016-07-22,600796.SH,buy,413.72785106942075,82.59
2016-07-22,600872.SH,buy,242.13281760078982,141.12
2016-07-22,600900.SH,buy,988.4230031768429,34.57
2016-07-22,601007.SH,buy,2437.217062754883,14.02
2016-07-22,601088.SH,buy,1730.9920577418168,19.74
2016-07-22,601166.SH,buy,602.6416793619658,56.7
2016-07-22,601288.SH,buy,8155.079527404167,4.19
2016-07-22,601318.SH,buy,475.04216905079187,71.93
2016-07-22,601328.SH,buy,3839.3014853734226,8.9
2016-07-22,601398.SH,buy,5122.90602995854,6.67
2016-07-22,601601.SH,buy,1098.3536875545954,31.11
2016-07-22,601766.SH,buy,3314.236975734574,10.31
2016-07-22,601857.SH,buy,3714.106871719942,9.2
2016-07-22,601988.SH,buy,6609.242402286936,5.17
2016-07-22,601998.SH,buy,4397.655498046778,7.77
2016-07-22,601999.SH,buy,3196.4249971771246,10.69
2016-07-29,000002.SZ,sell,15.417420496150566,2275.89
2016-07-29,000710.SZ,sell,441.812557794459,77.34
2016-07-29,600000.SH,sell,235.89770949135976,145.5
2016-07-29,600004.SH,sell,1558.8404753569096,22.55
